 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 9.70000000E+00 -1.85141862E-05 -1.76523175E-05 -1.75678328E-05 -1.88831288E-05
 9.80000000E+00 -2.21738394E-05 -2.11541343E-05 -2.10660224E-05 -2.26984152E-05
 9.90000000E+00 -2.59488641E-05 -2.47664855E-05 -2.46747387E-05 -2.66333699E-05
 1.00000000E+01 -2.98383063E-05 -2.84884482E-05 -2.83930495E-05 -3.06868917E-05
 1.01000000E+01 -3.38411612E-05 -3.23190515E-05 -3.22199739E-05 -3.48578389E-05
 1.02000000E+01 -3.79563747E-05 -3.62572784E-05 -3.61544844E-05 -3.91450344E-05
 1.03000000E+01 -4.21828505E-05 -4.03020718E-05 -4.01955122E-05 -4.35472701E-05
 1.04000000E+01 -4.65194628E-05 -4.44523471E-05 -4.43419602E-05 -4.80633114E-05
 1.05000000E+01 -5.09650739E-05 -4.87070068E-05 -4.85927173E-05 -5.26919010E-05
 1.06000000E+01 -5.55185425E-05 -5.30649494E-05 -5.29466672E-05 -5.74317619E-05
 1.07000000E+01 -6.01787196E-05 -5.75250648E-05 -5.74026845E-05 -6.22816005E-05
 1.08000000E+01 -6.49444386E-05 -6.20862266E-05 -6.19596265E-05 -6.72401092E-05
 1.09000000E+01 -6.98145086E-05 -6.67472855E-05 -6.66163273E-05 -7.23059679E-05
 1.10000000E+01 -7.47877095E-05 -7.15070652E-05 -7.13715944E-05 -7.74778455E-05
 1.11000000E+01 -7.98627906E-05 -7.63643604E-05 -7.62242065E-05 -8.27544012E-05
 1.12000000E+01 -8.50384737E-05 -8.13179398E-05 -8.11729166E-05 -8.81342843E-05
 1.13000000E+01 -9.03134579E-05 -8.63665493E-05 -8.62164556E-05 -9.36161346E-05
 1.14000000E+01 -9.56864246E-05 -9.15089167E-05 -9.13535370E-05 -9.91985815E-05
 1.15000000E+01 -1.01156040E-04 -9.67437540E-05 -9.65828593E-05 -1.04880243E-04
 1.16000000E+01 -1.06720957E-04 -1.02069758E-04 -1.01903107E-04 -1.10659724E-04
 1.17000000E+01 -1.12379815E-04 -1.07485612E-04 -1.07312950E-04 -1.16535615E-04
 1.18000000E+01 -1.18131236E-04 -1.12989982E-04 -1.12811045E-04 -1.22506488E-04
 1.19000000E+01 -1.23973825E-04 -1.18581510E-04 -1.18396025E-04 -1.28570895E-04
 1.20000000E+01 -1.29906156E-04 -1.24258815E-04 -1.24066499E-04 -1.34727365E-04
